position,organoid_id,day,prob_full,prob_occluded,importance
3,BA2_96_2_G3_nosplit,10.0,0.8125,0.8225,0.01
4,BA2_96_2_G3_nosplit,13.0,0.8125,0.8202,0.0077
5,BA2_96_2_G3_nosplit,15.0,0.8125,0.8209,0.0084
6,BA2_96_2_G3_nosplit,17.0,0.8125,0.8196,0.0071
7,BA2_96_2_G3_nosplit,20.5,0.8125,0.8036,0.0089
8,BA2_96_2_G3_nosplit,24.0,0.8125,0.8014,0.0111
9,BA2_96_2_G3_nosplit,28.0,0.8125,0.7783,0.0342
10,BA2_96_2_G3_nosplit,30.0,0.8125,0.2555,0.557
,BA2_96_2_G3_nosplit,"set:3,6,8,10,13,15,17,20.5,24,28",0.8125,0.7891,0.0234
0,BA2_96_2_G6_nosplit,3.0,0.3369,0.3479,0.011
1,BA2_96_2_G6_nosplit,6.0,0.3369,0.3542,0.0173
2,BA2_96_2_G6_nosplit,8.0,0.3369,0.3547,0.0178
3,BA2_96_2_G6_nosplit,10.0,0.3369,0.3564,0.0195
4,BA2_96_2_G6_nosplit,13.0,0.3369,0.3623,0.0254
5,BA2_96_2_G6_nosplit,15.0,0.3369,0.355,0.0181
6,BA2_96_2_G6_nosplit,17.0,0.3369,0.349,0.0121
7,BA2_96_2_G6_nosplit,20.5,0.3369,0.3328,0.0041
8,BA2_96_2_G6_nosplit,24.0,0.3369,0.3619,0.025
9,BA2_96_2_G6_nosplit,28.0,0.3369,0.3136,0.0233
10,BA2_96_2_G6_nosplit,30.0,0.3369,0.2037,0.1332
,BA2_96_2_G6_nosplit,"set:3,6,8,10,13,15,17,20.5,24,28",0.3369,0.376,0.0391
0,BA2_96_2_G9_nosplit,3.0,0.0371,0.0385,0.0015
1,BA2_96_2_G9_nosplit,6.0,0.0371,0.0402,0.0032
2,BA2_96_2_G9_nosplit,8.0,0.0371,0.0404,0.0034
3,BA2_96_2_G9_nosplit,10.0,0.0371,0.0431,0.006
4,BA2_96_2_G9_nosplit,13.0,0.0371,0.043,0.0059
5,BA2_96_2_G9_nosplit,15.0,0.0371,0.0414,0.0043
6,BA2_96_2_G9_nosplit,17.0,0.0371,0.0443,0.0072
7,BA2_96_2_G9_nosplit,20.5,0.0371,0.0446,0.0075
8,BA2_96_2_G9_nosplit,24.0,0.0371,0.0447,0.0076
9,BA2_96_2_G9_nosplit,28.0,0.0371,0.044,0.007
10,BA2_96_2_G9_nosplit,30.0,0.0371,0.1425,0.1054
,BA2_96_2_G9_nosplit,"set:3,6,8,10,13,15,17,20.5,24,28",0.0371,0.095,0.058
0,BA2_96_2_H3_nosplit,3.0,0.2776,0.292,0.0145
1,BA2_96_2_H3_nosplit,6.0,0.2776,0.2938,0.0163
2,BA2_96_2_H3_nosplit,8.0,0.2776,0.2956,0.018
3,BA2_96_2_H3_nosplit,10.0,0.2776,0.3022,0.0247
4,BA2_96_2_H3_nosplit,13.0,0.2776,0.2966,0.019
5,BA2_96_2_H3_nosplit,15.0,0.2776,0.3061,0.0285
6,BA2_96_2_H3_nosplit,17.0,0.2776,0.3143,0.0367
7,BA2_96_2_H3_nosplit,20.5,0.2776,0.2841,0.0066
8,BA2_96_2_H3_nosplit,24.0,0.2776,0.2898,0.0123
9,BA2_96_2_H3_nosplit,28.0,0.2776,0.2847,0.0071
10,BA2_96_2_H3_nosplit,30.0,0.2776,0.1837,0.0939
,BA2_96_2_H3_nosplit,"set:3,6,8,10,13,15,17,20.5,24,28",0.2776,0.3833,0.1057
0,BA2_96_2_H8_nosplit,3.0,0.8129,0.8163,0.0034
1,BA2_96_2_H8_nosplit,6.0,0.8129,0.8154,0.0025
2,BA2_96_2_H8_nosplit,8.0,0.8129,0.8187,0.0058
3,BA2_96_2_H8_nosplit,10.0,0.8129,0.8235,0.0106
4,BA2_96_2_H8_nosplit,13.0,0.8129,0.8236,0.0107
5,BA2_96_2_H8_nosplit,15.0,0.8129,0.8269,0.014
6,BA2_96_2_H8_nosplit,17.0,0.8129,0.8156,0.0027
7,BA2_96_2_H8_nosplit,20.5,0.8129,0.8079,0.005
8,BA2_96_2_H8_nosplit,24.0,0.8129,0.7979,0.015
9,BA2_96_2_H8_nosplit,28.0,0.8129,0.7767,0.0361
10,BA2_96_2_H8_nosplit,30.0,0.8129,0.2807,0.5322
,BA2_96_2_H8_nosplit,"set:3,6,8,10,13,15,17,20.5,24,28",0.8129,0.7729,0.0399
