position,organoid_id,day,prob_full,prob_occluded,importance
5,BA2_96_1_G7_nosplit,15.0,0.2719,0.3014,0.0296
6,BA2_96_1_G7_nosplit,17.0,0.2719,0.246,0.0258
7,BA2_96_1_G7_nosplit,20.5,0.2719,0.1837,0.0882
8,BA2_96_1_G7_nosplit,24.0,0.2719,0.1983,0.0736
9,BA2_96_1_G7_nosplit,28.0,0.2719,0.1721,0.0998
10,BA2_96_1_G7_nosplit,30.0,0.2719,0.2049,0.0669
0,BA2_96_1_H11_nosplit,3.0,0.3479,0.3311,0.0169
1,BA2_96_1_H11_nosplit,6.0,0.3479,0.3407,0.0072
2,BA2_96_1_H11_nosplit,8.0,0.3479,0.3381,0.0098
3,BA2_96_1_H11_nosplit,10.0,0.3479,0.3473,0.0006
4,BA2_96_1_H11_nosplit,13.0,0.3479,0.3336,0.0143
5,BA2_96_1_H11_nosplit,15.0,0.3479,0.319,0.0289
6,BA2_96_1_H11_nosplit,17.0,0.3479,0.2871,0.0608
7,BA2_96_1_H11_nosplit,20.5,0.3479,0.3345,0.0135
8,BA2_96_1_H11_nosplit,24.0,0.3479,0.2706,0.0773
9,BA2_96_1_H11_nosplit,28.0,0.3479,0.2339,0.114
10,BA2_96_1_H11_nosplit,30.0,0.3479,0.2288,0.1192
0,BA2_96_2_B10_nosplit,3.0,0.3222,0.3016,0.0206
1,BA2_96_2_B10_nosplit,6.0,0.3222,0.3369,0.0147
2,BA2_96_2_B10_nosplit,8.0,0.3222,0.335,0.0129
3,BA2_96_2_B10_nosplit,10.0,0.3222,0.338,0.0158
4,BA2_96_2_B10_nosplit,13.0,0.3222,0.3449,0.0227
5,BA2_96_2_B10_nosplit,15.0,0.3222,0.3478,0.0256
6,BA2_96_2_B10_nosplit,17.0,0.3222,0.2834,0.0388
7,BA2_96_2_B10_nosplit,20.5,0.3222,0.2538,0.0683
8,BA2_96_2_B10_nosplit,24.0,0.3222,0.2061,0.1161
9,BA2_96_2_B10_nosplit,28.0,0.3222,0.2062,0.116
10,BA2_96_2_B10_nosplit,30.0,0.3222,0.2033,0.1189
0,BA2_96_2_C2_nosplit,3.0,0.037,0.0352,0.0017
1,BA2_96_2_C2_nosplit,6.0,0.037,0.0417,0.0047
2,BA2_96_2_C2_nosplit,8.0,0.037,0.0415,0.0045
3,BA2_96_2_C2_nosplit,10.0,0.037,0.0423,0.0053
4,BA2_96_2_C2_nosplit,13.0,0.037,0.0438,0.0068
5,BA2_96_2_C2_nosplit,15.0,0.037,0.0476,0.0106
6,BA2_96_2_C2_nosplit,17.0,0.037,0.031,0.006
7,BA2_96_2_C2_nosplit,20.5,0.037,0.0401,0.0031
8,BA2_96_2_C2_nosplit,24.0,0.037,0.0332,0.0038
9,BA2_96_2_C2_nosplit,28.0,0.037,0.0443,0.0073
10,BA2_96_2_C2_nosplit,30.0,0.037,0.0409,0.0039
0,BA2_96_2_E8_nosplit,3.0,0.4676,0.4321,0.0355
1,BA2_96_2_E8_nosplit,6.0,0.4676,0.4389,0.0287
2,BA2_96_2_E8_nosplit,8.0,0.4676,0.4675,0.0002
3,BA2_96_2_E8_nosplit,10.0,0.4676,0.4936,0.026
4,BA2_96_2_E8_nosplit,13.0,0.4676,0.4592,0.0084
