position,organoid_id,day,prob_full,prob_occluded,importance
2,BA2_96_2_H3_nosplit,24.0,0.0019,0.0019,0.0001
3,BA2_96_2_H3_nosplit,20.5,0.0019,0.0019,0.0001
4,BA2_96_2_H3_nosplit,17.0,0.0019,0.0021,0.0002
5,BA2_96_2_H3_nosplit,15.0,0.0019,0.0021,0.0003
6,BA2_96_2_H3_nosplit,13.0,0.0019,0.0022,0.0003
7,BA2_96_2_H3_nosplit,10.0,0.0019,0.0025,0.0006
8,BA2_96_2_H3_nosplit,8.0,0.0019,0.0027,0.0008
9,BA2_96_2_H3_nosplit,6.0,0.0019,0.004,0.0021
10,BA2_96_2_H3_nosplit,3.0,0.0019,0.0683,0.0665
0,BA2_96_2_H8_nosplit,30.0,0.0041,0.004,0.0001
1,BA2_96_2_H8_nosplit,28.0,0.0041,0.0041,0.0001
2,BA2_96_2_H8_nosplit,24.0,0.0041,0.0041,0.0001
3,BA2_96_2_H8_nosplit,20.5,0.0041,0.0041,0.0
4,BA2_96_2_H8_nosplit,17.0,0.0041,0.0043,0.0002
5,BA2_96_2_H8_nosplit,15.0,0.0041,0.0048,0.0006
6,BA2_96_2_H8_nosplit,13.0,0.0041,0.0049,0.0007
7,BA2_96_2_H8_nosplit,10.0,0.0041,0.0055,0.0013
8,BA2_96_2_H8_nosplit,8.0,0.0041,0.0058,0.0017
9,BA2_96_2_H8_nosplit,6.0,0.0041,0.0081,0.004
10,BA2_96_2_H8_nosplit,3.0,0.0041,0.0812,0.077
